,Country,2000,2010,2020,2022
0,Iceland,57008.0,54268,71687,79473.0
1,Luxembourg,64217.0,71085,74839,78310.0
2,United States,61132.0,67263,77567,77463.0
3,Switzerland,60768.0,67961,69728,72993.0
4,Belgium,60929.0,63295,63677,64848.0
5,Denmark,52019.0,61537,66203,64127.0
6,Austria,57529.0,62831,64648,63802.0
7,Netherlands,60063.0,66270,67163,63225.0
8,Australia,48213.0,55536,60377,59408.0
9,Canada,46526.0,52457,59160,59050.0
10,Germany,51344.0,52912,60309,58940.0
11,United Kingdom,44967.0,52455,53612,53985.0
12,Norway,36444.0,47531,52415,53756.0
13,France,43694.0,49926,50550,52764.0
14,Ireland,37874.0,52793,53651,52243.0
15,Finland,43073.0,49911,51092,51836.0
16,New Zealand,36452.0,44476,51417,50722.0
17,Sweden,37651.0,45337,51214,50407.0
18,South Korea,32243.0,39730,48294,48922.0
19,Slovenia,33203.0,42846,48605,47204.0
20,Italy,45290.0,47629,44246,44893.0
21,Israel,37782.0,34993,42130,44156.0
22,Lithuania,17102.0,28340,44228,43875.0
23,Spain,43029.0,46538,43828,42859.0
24,Japan,41428.0,40999,41442,41509.0
25,Poland,23770.0,28091,37325,36897.0
26,Estonia,14254.0,24461,35128,34705.0
27,Latvia,13407.0,22140,33199,34136.0
28,Czech Republic,20070.0,28648,35552,33476.0
29,Turkey,,22847,31761,
30,Chile,20515.0,27871,31369,
31,Costa Rica,18160.0,21062,31341,
32,Portugal,30975.0,31589,31300,31922.0
33,Hungary,17969.0,24005,27588,28475.0
34,Slovakia,16381.0,22642,27052,26263.0
35,Greece,29797.0,35454,27747,25979.0
36,Colombia,,19800,24681,
37,Mexico,17311.0,17618,17467,16685.0
