,Country,Continent,Current Population,Number In Household,Households,% 1 Member,% 2-3 Members,% 4-5 Members,% 6+ Members,Year
0,China,Asia,1409778724,2.7,522689264,14.53,51.23,27.6,6.64,2020[2]
1,India,Asia,1425775850,4.57,299727860,4.11,27.31,41.64,26.94,2015[2]
2,United States,North America,330662999,2.49,132736055,27.89,49.49,18.81,3.81,2015[2]
3,Indonesia,Asia,269603400,3.86,69855344,7.10,36.62,41.5,14.78,2017[2]
4,Brazil,South America,212347290,3.31,64124398,12.00,47.27,31.91,8.82,2010[2]
5,Russia,Eurasia,146748590,2.58,56771478,25.97,50.83,19.55,3.65,2010[2]
6,Japan,Asia,125800000,2.26,55704949,37.97,44.67,15.72,1.64,2020[2]
7,Nigeria,Africa,206139587,4.9,42057041,11.51,25.53,27.86,35.10,2015[2]
8,Germany,Europe,83122889,2.05,40624971,39.53,47.00,12.71,0.76,2011[2]
9,Bangladesh,Asia,169660274,4.47,37957746,1.74,29.71,45.59,22.96,2014[2]
10,Mexico,North America,127792286,3.74,34167462,10.08,37.68,37.75,14.49,2015[2]
11,Pakistan,Asia,220892331,6.8,32462785,1.08,12.88,25.16,60.88,2013[2]
12,France,Europe,67146000,2.22,30217950,35.46,46.84,16.08,1.62,2015[2]
13,United Kingdom,Europe,66796807,2.27,29486179,33.01,48.96,16.24,1.79,2011[2]
14,Philippines,Asia,109441605,4.23,25893157,9.18,30.05,36.82,23.95,2017[2]
15,Vietnam,Asia,96483981,3.78,25503951,7.28,36.25,43.44,13.02,2009[2]
16,Italy,Europe,60026546,2.4,25020120,31.10,46.56,21.29,1.05,2011[2]
17,Egypt,Africa,101189802,4.13,24496076,6.48,30.40,43.12,20.00,2014[2]
18,Iran,Middle East,83955821,3.49,24056109,8.48,49.13,37.86,4.53,2016[2]
19,"Korea, South",Asia,51583722,2.18,23650555,40.81,40.98,17.36,0.85,2022[3]
20,Ethiopia,Africa,100829000,4.61,21850103,7.52,27.01,32.00,33.47,2016[2]
21,Turkey,Eurasia,84140990,2.16,38400610,6.37,36.23,39.03,18.36,2020[2]
22,DR Congo,Africa,101935800,5.3,19225670,7.25,21.19,27.81,43.74,2013[2]
23,Thailand,Asia,66577342,3.69,18042640,18.36,44.71,28.16,8.77,2010[2]
24,South Africa,Africa,59622350,3.36,17733119,23.84,36.32,24.66,15.17,2016[2]
25,Spain,Europe,47329981,2.69,17565288,19.06,53.4,25.56,1.98,2011[2]
