,value,count
0,12.5,1
1,20,2
2,7.3,1
3,11,1
4,8.2,1
5,33.9,1
6,5.7,1
7,11.4,2
8,17.6,1
9,49.8,1
10,76.9,1
11,11.5,1
12,--,20
13,5.1,1
14,27.8,1
15,13.6,1
16,16.3,1
17,19.8,1
18,8.5,1
19,75.9,1
20,21.7,1
21,32.6,1
22,14.1,1
23,7.8,1
24,25.4,2
25,14.8,1
26,13.9,1
27,9.6,1
28,29.1,1
29,5.9,1
30,23.9,1
31,5.5,2
32,21,2
33,10.6,1
34,25.9,2
35,19,1
36,19.5,1
37,11.8,1
38,15.9,1
39,15.5,1
40,6.1,1
41,58.1,1
42,34.3,1
43,30.3,1
44,49.7,1
45,8,1
46,18.7,1
47,15.2,1
48,9.1,1
49,31.1,1
50,14.3,1
51,14.7,1
52,29.7,1
53,50.8,1
54,21.5,1
55,7.2,1
56,13.2,1
57,9,1
58,17,1
59,19.4,1
60,13.5,1
61,19.3,1
62,33.1,1
63,35.2,1
64,46,1
65,11.3,1
66,3.8,1
67,6.8,1
68,34,1
69,7.5,1
70,66.8,1
71,29.6,1
72,15.6,1
73,19.1,2
74,7.1,2
75,4.8,1
76,38.2,1
77,15.3,1
78,12.3,1
79,32.7,1
80,25.5,1
81,13.8,1
82,16,1
83,13.3,1
84,22.7,1
85,10.7,1
86,17.4,1
87,44.1,1
88,6.6,1
89,10.8,1
90,23,1
91,16.2,1
92,59.4,1
93,20.2,1
94,20.4,1
95,4.5,1
96,10.3,1
97,27.6,1
98,18.5,1
99,36,1
100,8.8,1
101,14.2,1
102,42.8,1
103,24.7,1
