,value,count
0,2811666,1
1,44177969,1
2,79034,1
3,34503774,1
4,45808747,1
5,2790974,1
6,25688079,1
7,8955797,1
8,10137750,1
9,1463265,1
10,169356251,1
11,11592952,1
12,400031,1
13,63867,1
14,12079472,1
15,26221,1
16,3270943,1
17,214326223,1
18,6877743,1
19,22100683,1
20,17652114,1
21,38246108,1
22,17179740,1
23,19493184,1
24,1412360000,1
25,51516562,1
26,5153957,1
27,3899000,1
28,1244188,1
29,10505772,1
30,95894118,1
31,5856733,1
32,109262178,1
33,6314167,1
34,1330932,1
35,120283026,1
36,5541017,1
37,67749632,1
38,304032,1
39,2341179,1
40,3708610,1
41,83196078,1
42,32833031,1
43,10641221,1
44,124610,1
45,170534,1
46,17109746,1
47,804567,1
48,10278345,1
49,7413100,1
50,9709891,1
51,372520,1
52,1407563842,1
53,273753191,1
54,87923432,1
55,43533592,1
56,5033165,1
57,9364000,1
58,59109668,1
59,29389150,1
60,125681593,1
61,19000988,1
62,53005614,1
63,1786038,1
64,4250114,1
65,6691800,1
66,7275556,1
67,1884490,1
68,39039,1
69,2800839,1
70,640064,1
71,686607,1
72,28915653,1
73,33573874,1
74,521457,1
75,518536,1
76,126705138,1
77,2615199,1
78,3347782,1
79,619211,1
80,53798084,1
81,30034989,1
82,17533044,1
83,271030,1
84,5122600,1
85,6850540,1
86,213401323,1
87,2065092,1
88,5408320,1
89,231402117,1
90,4351267,1
91,33715471,1
92,113880328,1
93,37747124,1
94,10325147,1
95,3263584,1
96,2688235,1
97,19119880,1
98,143449286,1
99,13461888,1
100,35950396,1
101,16876720,1
102,6834326,1
103,5453566,1
104,5447247,1
105,2108079,1
106,59392255,1
107,51744876,1
108,47415750,1
109,22156000,1
110,45657202,1
111,612985,1
112,10415811,1
113,8703405,1
114,21324367,1
115,23816775,1
116,9750064,1
117,71601103,1
118,1525663,1
119,84775404,1
120,6341855,1
121,105870,1
122,331893745,1
123,45853778,1
124,43792855,1
125,9365145,1
126,67326569,1
127,3426260,1
128,34915100,1
129,97468029,1
130,19473125,1
