,value,count
0,73,1
1,58,1
2,117,1
3,102,1
4,108,1
5,22,1
6,123,1
7,92,1
8,51,1
9,4,1
10,5,1
11,91,1
12,116,1
13,128,1
14,112,1
15,127,1
16,19,1
17,81,1
18,55,1
19,6,1
20,104,1
21,111,1
22,1,1
23,43,1
24,25,1
25,63,1
26,107,1
27,37,1
28,65,1
29,75,1
30,66,1
31,103,1
32,9,1
33,74,1
34,120,1
35,23,1
36,119,1
37,84,1
38,130,1
39,32,1
40,61,1
41,88,1
42,27,1
43,50,1
44,124,1
45,131,1
46,54,1
47,79,1
48,93,1
49,72,1
50,80,1
51,126,1
52,8,1
53,26,1
54,21,1
55,2,1
56,109,1
57,53,1
58,52,1
59,42,1
60,97,1
61,40,1
62,83,1
63,70,1
64,7,1
65,24,1
66,29,1
67,94,1
68,105,1
69,78,1
70,110,1
71,67,1
72,36,1
73,59,1
74,90,1
75,82,1
76,49,1
77,41,1
78,28,1
79,64,1
80,35,1
81,16,1
82,87,1
83,125,1
84,121,1
85,100,1
86,18,1
87,31,1
88,114,1
89,3,1
90,98,1
91,38,1
92,69,1
93,62,1
94,106,1
95,122,1
96,14,1
97,60,1
98,86,1
99,13,1
100,15,1
101,47,1
102,33,1
103,77,1
104,71,1
105,68,1
106,39,1
107,56,1
108,89,1
109,46,1
110,12,1
111,113,1
112,115,1
113,95,1
114,48,1
115,76,1
116,10,1
117,57,1
118,118,1
119,45,1
120,44,1
121,129,1
122,99,1
123,17,1
124,96,1
125,11,1
126,101,1
127,85,1
128,20,1
129,30,1
130,34,1
