,value,count
0,2.59,1
1,0.27,1
2,–,13
3,1.58,1
4,9.58,1
5,0.84,1
6,9.55,1
7,11.90,2
8,4.16,1
9,10.94,1
10,5.85,1
11,,15
12,3.35,1
13,8.25,1
14,5.57,1
15,9.52,1
16,0.45,1
17,0.34,1
18,7.52,1
19,0.23,1
20,7.06,1
21,5.39,1
22,6.41,1
23,5.72,1
24,11.75,1
25,10.00,1
26,14.35,2
27,12.15,1
28,0.53,1
29,2.54,1
30,1.02,1
31,8.26,1
32,13.74,1
33,6.76,1
34,4.50,1
35,11.67,1
36,0.41,2
37,10.41,1
38,1.99,1
39,14.03,1
40,2.41,1
41,12.85,1
42,4.88,1
43,0.99,1
44,0.13,1
45,0.61,1
46,1.75,1
47,9.62,1
48,1.43,1
49,7.85,1
50,7.71,1
51,1.66,1
52,2.20,1
53,4.12,1
54,8.70,1
55,6.23,1
56,1.25,1
57,0.87,1
58,2.08,1
59,6.91,1
60,5.04,1
61,8.62,1
62,1.95,1
63,0.21,3
64,9.80,1
65,11.26,1
66,8.85,1
67,2.34,1
68,0.66,1
69,4.97,1
70,5.74,1
71,4.00,1
72,6.77,1
73,7.93,1
74,13.57,1
75,10.88,1
76,8.08,1
77,0.71,1
78,2.10,1
79,13.00,1
80,15.15,1
81,7.72,1
82,14.40,1
83,11.09,1
84,0.26,1
85,4.68,1
86,6.04,1
87,11.27,1
88,1.78,1
89,8.64,1
90,3.69,1
91,1.35,1
92,1.17,1
93,0.46,1
94,2.31,1
95,3.06,1
96,8.17,1
97,1.55,1
98,1.21,1
99,0.63,1
