,value,count
0,,1
1,,1
2,,1
3,,1
4,,1
5,,1
6,60377.0,1
7,64648.0,1
8,,1
9,,1
10,,1
11,63677.0,1
12,,1
13,,1
14,,1
15,,1
16,,1
17,,1
18,,1
19,,1
20,,1
21,59160.0,1
22,,1
23,31369.0,1
24,,1
25,24681.0,1
26,31341.0,1
27,,1
28,,1
29,35552.0,1
30,,1
31,66203.0,1
32,,1
33,,1
34,35128.0,1
35,,1
36,51092.0,1
37,50550.0,1
38,,1
39,,1
40,,1
41,60309.0,1
42,,1
43,27747.0,1
44,,1
45,,1
46,,1
47,,1
48,,1
49,,1
50,27588.0,1
51,71687.0,1
52,,1
53,,1
54,,1
55,,1
56,53651.0,1
57,42130.0,1
58,44246.0,1
59,,1
60,41442.0,1
61,,1
62,,1
63,,1
64,,1
65,,1
66,,1
67,33199.0,1
68,,1
69,44228.0,1
70,74839.0,1
71,,1
72,,1
73,,1
74,,1
75,,1
76,17467.0,1
77,,1
78,,1
79,,1
80,,1
81,,1
82,67163.0,1
83,,1
84,51417.0,1
85,,1
86,,1
87,,1
88,52415.0,1
89,,1
90,,1
91,,1
92,,1
93,37325.0,1
94,31300.0,1
95,,1
96,,1
97,,1
98,,1
99,,1
100,,1
101,,1
102,,1
103,,1
104,27052.0,1
105,48605.0,1
106,,1
107,48294.0,1
108,43828.0,1
109,,1
110,,1
111,,1
112,51214.0,1
113,69728.0,1
114,,1
115,,1
116,,1
117,,1
118,,1
119,31761.0,1
120,,1
121,,1
122,,1
123,,1
124,,1
125,,1
126,53612.0,1
127,,1
128,,1
129,,1
130,,1
