,value,count
0,,94
1,Australia,1
2,Austria,1
3,Belgium,1
4,Canada,1
5,Chile,1
6,Colombia,1
7,Costa Rica,1
8,Czech Republic,1
9,Denmark,1
10,Estonia,1
11,Finland,1
12,France,1
13,Germany,1
14,Greece,1
15,Hungary,1
16,Iceland,1
17,Ireland,1
18,Israel,1
19,Italy,1
20,Japan,1
21,Latvia,1
22,Lithuania,1
23,Luxembourg,1
24,Mexico,1
25,Netherlands,1
26,New Zealand,1
27,Norway,1
28,Poland,1
29,Portugal,1
30,Slovakia,1
31,Slovenia,1
32,South Korea,1
33,Spain,1
34,Sweden,1
35,Switzerland,1
36,Turkey,1
37,United Kingdom,1
