,value,count
0,12.48,1
1,17.84,1
2,6.87,1
3,41.42,1
4,15.38,1
5,10.8,2
6,12.23,1
7,9.39,1
8,13.2,1
9,12.3,1
10,17.5,1
11,10.86,1
12,20.93,1
13,,1
14,18.08,1
15,,1
16,8.31,2
17,13.44,1
18,7.97,1
19,32.71,1
20,18.75,1
21,10.11,1
22,39.85,1
23,12.57,1
24,9.69,1
25,15.06,1
26,14.03,1
27,8.6,1
28,10.37,1
29,8.43,1
30,,1
31,11.25,1
32,20.48,1
33,17.49,1
34,8.48,1
35,29.97,1
36,10.33,1
37,11.56,1
38,13.22,1
39,25.89,1
40,10.79,1
41,9.02,1
42,28.04,1
43,7.52,1
44,13.61,2
45,,1
46,21.88,1
47,16.74,1
48,17.64,1
49,,1
50,8.58,1
51,12.8,1
52,16.53,1
53,15.05,1
54,14.79,1
55,24.22,1
56,12.08,1
57,17.3,1
58,7.0,1
59,,1
60,6.9,1
61,14.92,1
62,26.01,2
63,14.57,1
64,17.65,1
65,19.08,1
66,20.35,1
67,8.5,1
68,10.3,2
69,9.09,1
70,11.59,1
71,,1
72,28.14,1
73,14.39,1
74,15.33,1
75,9.59,1
76,13.95,1
77,9.94,1
78,15.37,1
79,11.04,1
80,16.04,1
81,17.26,1
82,10.98,1
83,,1
84,12.69,1
85,16.3,1
86,34.0,1
87,,1
88,11.89,1
89,17.71,1
90,16.96,1
91,22.17,1
92,7.99,1
93,,1
94,9.27,1
95,8.63,1
96,9.22,1
97,25.7,1
98,13.9,1
99,30.84,1
100,8.87,1
101,8.94,1
102,8.78,1
103,8.12,1
104,18.24,1
105,6.95,1
106,7.12,1
107,33.32,1
108,15.17,1
109,10.76,2
110,22.19,1
111,7.33,1
112,20.28,1
113,10.04,1
114,10.62,1
115,14.04,1
116,17.16,1
117,,1
118,,1
119,40.27,1
120,8.79,1
121,12.65,1
122,15.18,1
123,15.29,1
124,34.48,1
