,value,count
0,,66
1,Argentina,1
2,Australia,1
3,Austria,1
4,Azerbaijan,1
5,Belgium,1
6,Bolivia,1
7,Brazil,1
8,Bulgaria,1
9,Canada,1
10,Chile,1
11,Colombia,1
12,Costa Rica,1
13,Croatia,1
14,Cyprus,1
15,Czech Republic,1
16,Denmark,1
17,El Salvador,1
18,Estonia,1
19,Finland,1
20,France,1
21,Georgia,1
22,Germany,1
23,Greece,1
24,Guatemala,1
25,Honduras,1
26,Hungary,1
27,Iceland,1
28,India,1
29,Ireland,1
30,Israel,1
31,Italy,1
32,Japan,1
33,Kuwait,1
34,Kyrgyzstan,1
35,Latvia,1
36,Luxembourg,1
37,Mexico,1
38,Moldova,1
39,Montenegro,1
40,Netherlands,1
41,New Zealand,1
42,Nicaragua,1
43,Norway,1
44,Panama,1
45,Peru,1
46,Philippines,1
47,Poland,1
48,Portugal,1
49,Qatar,1
50,Romania,1
51,Russia,1
52,Serbia,1
53,Singapore,1
54,Slovakia,1
55,Slovenia,1
56,South Africa,1
57,South Korea,1
58,Spain,1
59,Sweden,1
60,Switzerland,1
61,Taiwan,1
62,Turkey,1
63,Ukraine,1
64,United Kingdom,1
65,Uruguay,1
