,value,count
0,,66
1,7.4 (2016),1
2,13.7 (2016),1
3,30.0 (2017),1
4,3.6 (2017),1
5,6.86 (2015),1
6,2.5 (2012),1
7,8.6,1
8,"6.2-19.4 (2007, 2006)",1
9,34.70 (2017),1
10,12.1 (2017),1
11,10.10 (2017),2
12,10 (2017),1
13,13.7 (2017),1
14,36.4,1
15,16.3,1
16,9.90 (2017),1
17,5.8,1
18,9.2,1
19,32.4 (2017),1
20,14.96,1
21,32.0 (2016),1
22,22.5,1
23,13.1,1
24,9.9–11.24 (mixed years),1
25,5.5,1
26,30.3,1
27,4.2,1
28,7.20 (2017),1
29,7.3,1
30,11.9,1
31,0.6,1
32,24.8,1
33,0.9,1
34,19,1
35,15.3,1
36,15,1
37,7.1,1
38,23.1,1
39,2.60 (2017),1
40,30,1
41,7.7,1
42,31.3,1
43,21.7,1
44,18.8,1
45,4.7,1
46,1.3,1
47,8.5,1
48,19.2,1
49,0.7,1
50,12.30 (2017),1
51,37.82,1
52,0.5,1
53,8.3,1
54,13.5,1
55,12.7,1
56,1.1,1
57,10.4,1
58,23.10 (2017),1
59,27.6 - 41.2 (2017),1
60,?,2
61,6.6,1
62,2.8[81],1
63,31.8,1
