,value,count
0,,66
1,2.80,1
2,0.15,1
3,0.10,1
4,0.20 (2017),1
5,0.25,1
6,0.74 (2010),1
7,22.91,1
8,0.20 (2016),3
9,0.52 (2018),1
10,1.92,1
11,18.20 (2016),1
12,6.46,1
13,0.35,1
14,0.50,1
15,0.10 (2017),1
16,0.18,2
17,71.60 (2016),1
18,0.00,2
19,0.12,1
20,0.62,1
21,0.06,2
22,0.19,1
23,20.41,1
24,28.65 (2018),1
25,0.05,1
26,0.00 (2012),1
27,0.30 (2016),1
28,0.21,1
29,0.68,1
30,0.29,1
31,0.36 (1995),1
32,0.30,2
33,0.40,1
34,16.50 (2017),1
35,0.31,1
36,2.50 (2016),1
37,0.16,1
38,6.22,1
39,9.30,1
40,3.20 (2016),1
41,7.62,1
42,0.03,2
43,0.24,1
44,0.15 (2004),1
45,0.04 (2012),1
46,0.90 (2013),1
47,0.72,1
48,0.005 (1994-),1
49,0.00 (2016),1
50,12.92 (2018),1
51,0.10 (2016),1
52,0.40 (2017),1
53,0.09 (2021),1
54,0.60 (2008),1
55,1.03 (2016),1
56,1.36 (2016),1
57,0.02,1
58,4.70 (2016),1
