,value,count
0,,66
1,Guns in Argentina[4],1
2,Guns in Australia[5],1
3,Guns in Austria[6],1
4,Guns in Azerbaijan[7],1
5,Guns in Belgium[10],1
6,Guns in Bolivia[11],1
7,Guns in Brazil[12],1
8,Guns in Bulgaria[13],1
9,Guns in Canada[14],1
10,Guns in Chile[15],1
11,Guns in Colombia[16],1
12,Guns in Costa Rica[17],1
13,Guns in Croatia[18],1
14,Guns in Cyprus[20],1
15,Guns in Czech Republic[21],1
16,Guns in Denmark[22],1
17,Guns in El Salvador[23],1
18,Guns in Estonia[24],1
19,Guns in Finland[26][27],1
20,Guns in France[28],1
21,Guns in Georgia[29],1
22,Guns in Germany[30],1
23,Guns in Greece[31],1
24,Guns in Guatemala[32],1
25,Guns in Honduras[33],1
26,Guns in Hungary[35],1
27,Guns in Iceland[36],1
28,Guns in India[37][38],1
29,Guns in Ireland[39],1
30,Guns in Israel[40],1
31,Guns in Italy[41],1
32,Guns in Japan[43],1
33,Guns in Kuwait[44],1
34,Guns in Kyrgyzstan[45],1
35,Guns in Latvia[46],1
36,Guns in Luxembourg[47],1
37,Guns in Mexico[48],1
38,Guns in Moldova[49],1
39,Guns in Montenegro[50],1
40,Guns in Netherlands[51],1
41,Guns in New Zealand[52][53],1
42,Guns in Nicaragua[54],1
43,Guns in Norway[57],1
44,Guns in Panama[58],1
45,Guns in Peru[60],1
46,Guns in Philippines[61],1
47,Guns in Poland[62],1
48,Guns in Portugal[63],1
49,Guns in Qatar[64],1
50,Guns in Romania[65],1
51,Guns in Russia[66],1
52,Guns in Serbia[67],1
53,Guns in Singapore[2],1
54,Guns in Slovakia[68],1
55,Guns in Slovenia[69],1
56,Guns in South Africa[70],1
57,Guns in South Korea[71],1
58,Guns in Spain[72],1
59,Guns in Sweden[73],1
60,Gun laws in Switzerland[74][75],1
61,Guns in Taiwan[76],1
62,Mixed sources [77][78][79],1
63,Guns in Ukraine[80],1
64,Guns in the United Kingdom[82],1
65,Guns in Uruguay[84],1
