,value,count
0,,66
1,5.72,1
2,0.88,1
3,2.75,1
4,0.23,1
5,1.40,1
6,?,2
7,23.93,1
8,1.51,1
9,1.94,1
10,2.79,1
11,20.38,1
12,7.59,1
13,2.83,1
14,1.00,1
15,1.64,1
16,0.91,1
17,78.52,1
18,1.34,1
19,2.41,1
20,2.33,1
21,1.44,1
22,1.04,1
23,1.35,1
24,25.48,1
25,29.40,1
26,0.85,1
27,0.07,1
28,0.30,1
29,0.87,2
30,1.38,1
31,1.13,1
32,0.02,1
33,0.36,1
34,0.72,1
35,1.86,1
36,1.23,1
37,11.55,1
38,0.77,1
39,8.68,1
40,0.42,1
41,1.24,1
42,7.09,1
43,1.48,2
44,9.95,1
45,3.72,1
46,7.72,1
47,0.20,2
48,0.15,1
49,0.14,1
50,3.23,1
51,0.01,1
52,1.89,1
53,1.91,1
54,10.47,1
55,0.06,1
56,0.57,1
57,1.31,1
58,2.64,1
59,1.95,1
60,1.36,1
61,11.67,1
