,value,count
0,,66
1,0.10,2
2,0.00,3
3,0.01,7
4,0.02,5
5,0.04,1
6,?,7
7,0.16,1
8,0.26,1
9,0.33,1
10,0.11,1
11,0.08,2
12,0.07,1
13,0.06,3
14,0.05 (2013),1
15,0.24 (2014),1
16,0.03,3
17,0.35,1
18,4.78,1
19,0.07 (2013),1
20,0.14 (2008),1
21,0.21 (2014),1
22,0.12,1
23,0.00 (2000),1
24,0.19,1
25,0.05 (2014),1
26,0.00 (2014),2
27,0.47,1
28,0.14 (2015),1
29,0.46,1
30,0.05,2
31,0.12 (2015),1
32,0.04 (2011),1
33,0.003 (1994-),1
34,0.37,1
35,10.25,1
36,0.05 (2015),1
37,0.11 (1994),1
38,0.11 (2016),1
39,2.09,1
