,value,count
0,23032,1
1,224107,1
2,3692,1
3,93796,1
4,621833,1
5,24540,1
6,1687713,1
7,526182,1
8,77392,1
9,44994,1
10,446349,1
11,627511,1
12,3218,1
13,—,6
14,46796,1
15,,7
16,26945,1
17,2126809,1
18,103099,1
19,20785,1
20,30943,1
21,2117805,1
22,12596,1
23,344400,1
24,17700899,1
25,363835,1
26,85590,1
27,80185,1
28,32032,1
29,335243,1
30,420800,1
31,398397,1
32,35339,1
33,41799,1
34,155804,1
35,305689,1
36,3049016,1
37,19319,1
38,30023,1
39,4429838,1
40,76628,1
41,242385,1
42,1306,1
43,102765,1
44,16329,1
45,33992,1
46,203829,1
47,30570,1
48,3732224,1
49,1417387,1
50,366438,1
51,297695,1
52,589569,1
53,521688,1
54,2186082,1
55,79430,1
56,4230862,1
57,259292,1
58,112749,1
59,10469,1
60,159687,1
61,12681,1
62,14244,1
63,46668,1
64,79427,1
65,89095,1
66,15763,1
67,430895,1
68,6977,1
69,20311,1
70,1811468,1
71,16000,1
72,18782,1
73,7058,1
74,74861,1
75,41339,1
76,1092748,1
77,249415,1
78,17353,1
79,390002,1
80,15801,1
81,546768,1
82,340636,1
83,82348,1
84,264636,1
85,435675,1
86,842172,1
87,276432,1
88,117515,1
89,235500,1
90,350414,1
91,1862470,1
92,13927,1
93,1069437,1
94,31141,1
95,75015,1
96,497347,1
97,133044,1
98,68394,1
99,380906,1
100,1709232,1
101,1582054,1
102,25569,1
103,3539,1
104,597110,1
105,905684,1
106,751930,1
107,11816,1
108,512193,1
109,27887,1
110,1154600,1
111,81822,1
112,52390,1
113,173413,1
114,509179,1
115,3332059,1
116,76244,1
117,90392,1
118,433356,1
119,29536,1
