,value,count
0,18260,1
1,163473,1
2,3325,1
3,70533,1
4,487227,1
5,13861,1
6,1734532,1
7,480368,1
8,54622,1
9,38869,1
10,414907,1
11,594104,1
12,2492,1
13,7231,1
14,40408,1
15,,7
16,23365,1
17,1608981,1
18,84058,1
19,19738,1
20,26669,1
21,1988336,1
22,16410,1
23,317059,1
24,17734131,1
25,314464,1
26,64282,1
27,68955,1
28,28408,1
29,281778,1
30,398303,1
31,425906,1
32,28737,1
33,37191,1
34,99269,1
35,297302,1
36,2957880,1
37,6055,1
38,18521,1
39,18696,1
40,4259935,1
41,79083,1
42,214874,1
43,1115,1
44,85986,1
45,8044,1
46,28489,1
47,181848,1
48,25602,1
49,3201471,1
50,1186093,1
51,594892,1
52,204004,1
53,504183,1
54,481591,1
55,2107703,1
56,69765,1
57,4940878,1
58,193018,1
59,110347,1
60,9412,1
61,136642,1
62,8741,1
63,19074,1
64,39854,1
65,6608,1
66,66445,1
67,85506,1
68,14450,1
69,372702,1
70,5406,1
71,17721,1
72,1272839,1
73,13680,1
74,15098,1
75,5809,1
76,58582,1
77,36207,1
78,1012847,1
79,10071,1
80,250451,1
81,14013,1
82,430923,1
83,13881,1
84,482175,1
85,342501,1
86,63605,1
87,223252,1
88,394086,1
89,679442,1
90,253663,1
91,106526,1
92,179571,1
93,284086,1
94,1778782,1
95,11070,1
96,833541,1
97,27625,1
98,63068,1
99,396992,1
100,116527,1
101,61749,1
102,419016,1
103,1810966,1
104,1427381,1
105,85309,1
106,35867,1
107,3224,1
108,635664,1
109,812867,1
110,19719,1
111,—,1
112,8746,1
113,505982,1
114,24460,1
115,819034,1
116,53954,1
117,42661,1
118,200086,1
119,405468,1
120,3131378,1
121,59318,1
122,69239,1
123,366138,1
124,21313,1
