,value,count
0,18882,1
1,191913,1
2,3352,1
3,106714,1
4,632770,1
5,19503,1
6,1675419,1
7,471400,1
8,78721,1
9,44391,1
10,460201,1
11,578604,1
12,2824,1
13,7551,1
14,43069,1
15,,7
16,24528,1
17,1920096,1
18,89040,1
19,18885,1
20,29957,1
21,2139840,1
22,12704,1
23,301025,1
24,17963171,1
25,343939,1
26,68381,1
27,70965,1
28,28439,1
29,290924,1
30,395404,1
31,476748,1
32,32489,1
33,38101,1
34,126783,1
35,280826,1
36,2782905,1
37,—,6
38,21072,1
39,24605,1
40,4072192,1
41,72839,1
42,219066,1
43,1256,1
44,95003,1
45,15358,1
46,31718,1
47,178789,1
48,27842,1
49,3385090,1
50,1319100,1
51,388544,1
52,264182,1
53,529245,1
54,522033,1
55,2010432,1
56,70019,1
57,4231141,1
58,220623,1
59,113420,1
60,9429,1
61,184558,1
62,10931,1
63,15724,1
64,41154,1
65,70334,1
66,82275,1
67,14955,1
68,406306,1
69,6190,1
70,17765,1
71,1414187,1
72,14421,1
73,16811,1
74,6096,1
75,59364,1
76,40828,1
77,991115,1
78,247234,1
79,15672,1
80,477386,1
81,13563,1
82,579267,1
83,376533,1
84,76523,1
85,242632,1
86,404284,1
87,688177,1
88,251945,1
89,113435,1
90,237296,1
91,301262,1
92,2240422,1
93,13313,1
94,1108149,1
95,27684,1
96,63502,1
97,466789,1
98,115469,1
99,62118,1
100,405870,1
101,1665246,1
102,1397509,1
103,74404,1
104,51662,1
105,3621,1
106,585939,1
107,807706,1
108,10492,1
109,495341,1
110,27899,1
111,905988,1
112,45559,1
113,160503,1
114,507535,1
115,3070668,1
116,71177,1
117,80392,1
118,408802,1
119,29784,1
