,value,count
0,Albania,1
1,Algeria,1
2,Andorra,1
3,Angola,1
4,Argentina,1
5,Armenia,1
6,Australia,1
7,Austria,1
8,Azerbaijan,1
9,Bahrain,1
10,Bangladesh,1
11,Belgium,1
12,Belize,1
13,,12
14,Bolivia,1
15,Bosnia and Herzegovina,1
16,Brazil,1
17,Bulgaria,1
18,Burkina Faso,1
19,Cambodia,1
20,Canada,1
21,Chad,1
22,Chile,1
23,China,1
24,Colombia,1
25,Costa Rica,1
26,Croatia,1
27,Cyprus,1
28,Czech Republic,1
29,Democratic Republic of the Congo,1
30,Denmark,1
31,Egypt,1
32,El Salvador,1
33,Estonia,1
34,Ethiopia,1
35,Finland,1
36,France,1
37,Gabon,1
38,Georgia,1
39,Germany,1
40,Ghana,1
41,Greece,1
42,Grenada,1
43,Guatemala,1
44,Guyana,1
45,Honduras,1
46,Hungary,1
47,Iceland,1
48,India,1
49,Indonesia,1
50,Iran,1
51,Iraq,1
52,Ireland,1
53,Israel,1
54,Italy,1
55,Japan,1
56,Kazakhstan,1
57,Kenya,1
58,Kosovo,1
59,Kuwait,1
60,Kyrgyzstan,1
61,Laos,1
62,Latvia,1
63,Liechtenstein,1
64,Lithuania,1
65,Luxembourg,1
66,Madagascar,1
67,Malaysia,1
68,Maldives,1
69,Malta,1
70,Mexico,1
71,Moldova,1
72,Mongolia,1
73,Montenegro,1
74,Myanmar,1
75,Nepal,1
76,Netherlands,1
77,New Zealand,1
78,Nicaragua,1
79,Nigeria,1
80,North Macedonia,1
81,Norway,1
82,Pakistan,1
83,Panama,1
84,Peru,1
85,Philippines,1
86,Poland,1
87,Portugal,1
88,Qatar,1
89,Romania,1
90,Russia,1
91,Rwanda,1
92,Saudi Arabia,1
93,Senegal,1
94,Serbia,1
95,Singapore,1
96,Slovakia,1
97,Slovenia,1
98,South Africa,1
99,South Korea,1
100,Spain,1
101,Sri Lanka,1
102,Sudan,1
103,Suriname,1
104,Sweden,1
105,Switzerland,1
106,Syria,1
107,Taiwan,1
108,Tajikistan,1
109,Thailand,1
110,Trinidad and Tobago,1
111,Turkey,1
112,Uganda,1
113,Ukraine,1
114,United Arab Emirates,1
115,United Kingdom,1
116,Uruguay,1
117,Uzbekistan,1
118,Vietnam,1
119,Zambia,1
