,value,count
0,1 April 2023,7
1,1 May 2020,1
2,1 January 2023,22
3,2022,3
4,1 November 2023,1
5,15 November 2022,1
6,1 July 2023,4
7,2017,9
8,5 January 2023[27],1
9,1 December 2013,1
10,1 January 2022,5
11,22 July 2022,1
12,,12
13,1 May 2023,2
14,1 April 2012,1
15,3 October 2023,1
16,1 June 2022,3
17,18 October 2011,1
18,31 July 2018,1
19,1 January 2019,1
20,1 January 2009,1
21,2023,3
22,1 January 2018,4
23,1 February 2010,1
24,1 October 2022,1
25,1 January 2016,2
26,1 July 2013,1
27,"3rd of december 2022 (conversion rate, 1st of september 2023)",1
28,2015,1
29,1 February 2020,1
30,20 March 2023,1
31,2014,6
32,2019,2
33,14 October 2023,1
34,1 May 2017,1
35,17 August 2011,1
36,14 April 2010,1
37,1 January 2017,1
38,1 January 2024,2
39,1 January 2015,2
40,1 May 2022,1
41,1 September 2015,1
42,July 2021,1
43,1 March 2021,1
44,18 November 2019,1
45,1 April 2021,1
46,1 June 2016,1
47,2021,1
48,2013,4
49,2 February 2013,1
50,1 January 1996,1
51,1 March 2022,1
52,1 September 2013,1
53,1 July 2017,1
54,1 January 2020,1
55,10 September 2018,1
