,value,count
0,4.18,1
1,3.0,1
2,6.0,1
3,1.38,1
4,70.34,1
5,2.2,1
6,14.52,1
7,,1
8,5.69,1
9,,1
10,0.23,1
11,11.67,1
12,4.39,1
13,,1
14,3.58,1
15,,1
16,3.87,1
17,3.42,1
18,6.29,1
19,0.92,1
20,,1
21,10.66,1
22,1.72,1
23,4.62,1
24,2.13,1
25,4.94,1
26,4.52,1
27,5.41,1
28,,1
29,6.34,1
30,0.32,2
31,,1
32,,1
33,3.07,1
34,7.05,1
35,,1
36,,1
37,12.95,1
38,,1
39,2.34,1
40,0.17,1
41,14.46,1
42,0.85,1
43,6.62,1
44,,1
45,,1
46,2.79,1
47,1.54,1
48,2.16,1
49,,1
50,8.96,1
51,,1
52,1.0,1
53,3.38,1
54,10.6,1
55,2.51,1
56,11.8,1
57,6.93,2
58,,1
59,,1
60,8.33,1
61,3.55,1
62,0.61,1
63,2.72,1
64,1.44,1
65,2.08,1
66,6.28,1
67,,1
68,11.08,1
69,12.92,1
70,,1
71,0.75,1
72,4.63,1
73,,1
74,2.49,1
75,3.36,1
76,3.82,1
77,6.04,1
78,1.32,1
79,1.97,2
80,11.38,1
81,,1
82,13.84,1
83,1.88,1
84,1.4,1
85,2.64,1
86,,1
87,2.62,1
88,2.59,1
89,2.83,1
90,3.53,1
91,11.05,1
92,5.94,1
93,,1
94,,1
95,9.16,1
96,3.77,1
97,,1
98,9.91,1
99,0.78,1
100,3.51,1
101,,1
102,7.33,1
103,10.36,1
104,4.41,1
105,11.5,1
106,9.59,1
107,0.97,1
108,0.52,1
109,,1
110,,1
111,,1
112,1.37,1
113,11.27,1
114,0.62,2
115,3.73,1
116,2.65,1
117,49.61,1
118,,1
119,,1
120,,1
121,6.54,1
122,,1
123,13.03,1
124,4.33,1
125,4.13,1
126,1.27,1
