,value,count
0,2.23,1
1,0.85,1
2,8.0,1
3,0.29,1
4,8.01,1
5,0.86,1
6,17.47,1
7,,1
8,1.17,1
9,,1
10,0.08,2
11,12.15,1
12,2.5,1
13,,1
14,1.78,1
15,,1
16,1.9,1
17,1.39,1
18,2.86,1
19,0.36,1
20,,1
21,11.6,1
22,0.64,1
23,2.77,1
24,1.27,3
25,1.81,1
26,2.72,1
27,3.4,1
28,,1
29,4.17,1
30,0.09,1
31,,1
32,,1
33,1.6,1
34,5.09,1
35,,1
36,,1
37,13.33,1
38,,1
39,1.56,1
40,0.04,1
41,14.19,1
42,0.21,1
43,5.32,1
44,,1
45,,1
46,1.57,2
47,0.97,1
48,1.06,1
49,,1
50,4.42,1
51,17.45,1
52,0.27,1
53,1.18,1
54,9.13,1
55,0.99,1
56,13.96,1
57,9.48,1
58,,1
59,,1
60,8.14,1
61,0.95,1
62,0.26,1
63,1.16,2
64,0.96,1
65,0.69,1
66,4.23,1
67,,1
68,6.68,1
69,15.43,1
70,,1
71,0.18,1
72,1.86,1
73,,1
74,5.41,1
75,1.24,1
76,1.31,1
77,1.11,1
78,3.07,1
79,0.3,1
80,0.61,1
81,11.98,1
82,,1
83,16.1,1
84,0.6,1
85,0.43,1
86,,1
87,0.52,1
88,1.53,1
89,1.45,1
90,5.38,1
91,4.78,1
92,,1
93,,1
94,4.16,1
95,,1
96,5.13,1
97,0.33,1
98,1.74,1
99,,1
100,4.77,1
101,8.21,1
102,10.09,1
103,8.39,1
104,0.24,2
105,0.01,1
106,,1
107,,1
108,,1
109,0.4,1
110,5.76,1
111,0.13,1
112,1.5,1
113,2.22,1
114,8.75,1
115,,1
116,,1
117,,1
118,0.2,1
119,1.42,1
120,,1
121,14.27,1
122,2.33,1
123,0.5,1
124,0.76,1
