,value,count
0,75.4%,1
1,41.6%,1
2,28%,1
3,49%,1
4,880.5%,1
5,51.7%,1
6,62.4%,1
7,,33
8,68.5%,1
9,15.8%,1
10,49.7%,2
11,121.3%,1
12,123.4%,1
13,66.1%,1
14,51.8%,1
15,68%,1
16,107.6%,1
17,49.5%,1
18,175%,1
19,46.6%,1
20,28.5%,1
21,87.1%,1
22,67.9%,1
23,48%,1
24,37.9%,1
25,92.4%,1
26,81.5%,1
27,49.3%,1
28,57%,1
29,26.9%,1
30,3.5%,1
31,61.5%,1
32,41%,2
33,51.4%,1
34,87.8%,1
35,40.9%,1
36,104.5%,1
37,69.8%,1
38,38%,2
39,60.5%,1
40,131.1%,1
41,30.1%,1
42,33.5%,1
43,40.6%,1
44,29.2%,1
45,52.5%,1
46,56.3%,1
47,4.8%,1
48,18.6%,1
49,79.1%,1
50,51%,1
51,77.2%,1
52,26.2%,1
53,106.3%,1
54,39.2%,1
55,36%,1
56,131.2%,1
57,64.9%,1
58,71.2%,1
59,52.6%,1
60,198.3%,1
61,46.9%,1
62,74.7%,1
63,84.9%,1
64,36.7%,1
65,125%,1
66,28.1%,1
67,54.3%,1
68,94%,1
69,83.9%,1
70,40.3%,1
71,82.7%,1
72,31.6%,1
73,45.5%,1
74,63%,1
75,50.2%,1
76,50%,2
77,65.9%,1
78,78.2%,1
79,65.5%,1
80,54.9%,1
81,19.6%,1
82,23%,1
83,54%,1
84,33.7%,1
85,43.2%,1
86,55.1%,1
87,16.7%,1
88,408.7%,1
89,71.3%,1
90,164.5%,1
91,63.5%,1
92,131.9%,1
93,65%,1
94,80.8%,1
