,value,count
0,48.08,1
1,,1
2,,1
3,23.9,1
4,42.33,1
5,36.17,1
6,49.95,1
7,44.52,1
8,20.86,1
9,,1
10,29.71,1
11,48.31,1
12,,1
13,48.39,1
14,34.82,1
15,,1
16,,1
17,47.27,1
18,50.97,1
19,19.51,1
20,25.65,1
21,49.59,1
22,18.49,1
23,39.22,1
24,51.23,1
25,42.41,1
26,42.7,1
27,44.43,1
28,52.55,1
29,51.34,1
30,,1
31,,1
32,30.4,1
33,34.09,1
34,47.28,1
35,27.01,1
36,44.46,1
37,46.84,1
38,,1
39,28.48,1
40,39.28,1
41,47.0,1
42,30.34,1
43,49.84,1
44,,1
45,,1
46,26.57,1
47,36.69,1
48,29.43,1
49,,1
50,50.92,1
51,,1
52,27.31,1
53,36.62,1
54,49.13,1
55,10.21,1
56,48.05,1
57,39.99,1
58,46.56,1
59,24.73,1
60,44.67,1
61,38.32,2
62,31.06,1
63,,1
64,,1
65,30.82,1
66,15.01,1
67,49.93,1
68,44.75,1
69,45.4,1
70,44.15,1
71,,1
72,25.3,2
73,25.64,1
74,22.28,1
75,49.78,1
76,37.68,1
77,43.62,1
78,28.72,1
79,39.58,1
80,33.49,1
81,33.96,1
82,45.53,1
83,,1
84,50.52,1
85,26.37,1
86,25.53,1
87,,1
88,40.73,1
89,12.88,1
90,38.02,1
91,34.68,1
92,30.05,1
93,49.49,1
94,56.47,1
95,50.37,1
96,,1
97,46.98,1
98,50.83,1
99,30.76,1
100,,1
101,11.47,1
102,44.81,1
103,38.95,1
104,47.99,1
105,43.69,1
106,36.32,1
107,,1
108,53.4,1
109,,1
110,20.66,1
111,32.77,1
112,43.64,1
113,,1
114,,1
115,12.06,1
116,44.71,1
117,39.79,1
118,36.23,1
119,,1
120,,1
121,,1
122,51.22,1
123,,1
124,48.96,1
125,47.68,1
126,18.9,1
127,36.25,1
128,21.41,1
