,value,count
0,9.45,1
1,,28
2,36.83,1
3,11.12,1
4,16.34,1
5,3.27,1
6,2.08,1
7,27.68,1
8,22.96,1
9,2.12,1
10,1.70,1
11,17.2,1
12,8.82,1
13,1.89,2
14,46.46,1
15,27.9,1
16,3.02,1
17,48.11,1
18,12.24,1
19,6.64,1
20,11.66,1
21,10.25,1
22,5.73,1
23,2.92,1
24,1.02,1
25,20.00,1
26,20.28,1
27,1.67,1
28,33.47,1
29,1.57,1
30,1.62,2
31,26.6,1
32,12.64,1
33,0.76,1
34,18.48,1
35,1.42,1
36,31.6,1
37,18.35,1
38,27.07,1
39,2.74,1
40,26.94,1
41,14.78,1
42,4.53,1
43,67.74,1
44,4.16,1
45,10.70,1
46,1.05,1
47,37.22,1
48,1.64,1
49,16.14,1
50,19.49,1
51,24.85,1
52,48.97,1
53,3.88,1
54,1.58,1
55,2.10,1
56,36.22,1
57,29.36,1
58,39.73,1
59,2.66,1
60,14.49,1
61,5.87,1
62,24.33,1
63,8.94,1
64,22.01,1
65,23.02,1
66,1.35,1
67,4.55,1
68,33.08,1
69,35.10,1
70,1.56,1
71,60.88,1
72,16.06,1
73,16.39,1
74,23.95,1
75,5.04,1
76,1.93,1
77,3.40,1
78,5.63,1
79,3.65,1
80,26.2,1
81,66.13,1
82,6.67,1
83,11.15,1
84,4.20,1
85,3.16,1
86,15.17,1
87,1.98,1
88,47.48,1
89,20.41,1
90,?,1
91,55.76,1
92,8.77,1
93,11.64,1
94,18.36,1
95,32.26,1
96,2.81,1
97,1.79,1
98,5.43,1
99,42.22,1
100,13.02,1
101,41.35,1
