,value,count
0,862512.0,1
1,,1
2,,1
3,6463847.0,1
4,13925275.0,1
5,837896.0,1
6,10220186.0,1
7,3933516.0,1
8,2217398.0,1
9,,1
10,37957746.0,1
11,4883743.0,1
12,,1
13,28314.0,1
14,3295144.0,1
15,,1
16,,1
17,64124398.0,1
18,2973737.0,1
19,3630745.0,1
20,3315050.0,1
21,15618491.0,1
22,2811841.0,1
23,5440715.0,1
24,522689264.0,1
25,14282545.0,1
26,1476628.0,1
27,1451732.0,1
28,318823.0,1
29,4465680.0,1
30,,1
31,,1
32,24496076.0,1
33,1662356.0,1
34,578440.0,1
35,21850103.0,1
36,2652262.0,1
37,30217950.0,1
38,,1
39,531230.0,1
40,1113542.0,1
41,40624971.0,1
42,8862356.0,1
43,4394506.0,1
44,,1
45,,1
46,3507977.0,1
47,196290.0,1
48,2082686.0,1
49,,1
50,3753000.0,1
51,,1
52,299727860.0,1
53,69855344.0,1
54,24056109.0,1
55,5212262.0,1
56,1799221.0,1
57,2953648.0,1
58,25020120.0,1
59,5197095.0,1
60,55704949.0,1
61,5381052.0,1
62,13071338.0,1
63,,1
64,,1
65,1565200.0,1
66,1254263.0,1
67,736370.0,1
68,16700.0,1
69,1204383.0,1
70,259519.0,1
71,,1
72,5304084.0,1
73,7176812.0,1
74,70952.0,1
75,180375.0,1
76,34167462.0,1
77,914026.0,1
78,774771.0,1
79,193488.0,1
80,12978359.0,1
81,7075702.0,1
82,7874258.0,1
83,,1
84,1906474.0,1
85,1326800.0,1
86,42057041.0,1
87,,1
88,2426071.0,1
89,32462785.0,1
90,1165778.0,1
91,8695193.0,1
92,25893157.0,1
93,13666831.0,1
94,3876822.0,1
95,1195915.0,1
96,,1
97,6709224.0,1
98,56771478.0,1
99,2973056.0,1
100,,1
101,1928689.0,1
102,2405804.0,1
103,1727455.0,1
104,1948989.0,1
105,851149.0,1
106,17733119.0,1
107,,1
108,17565288.0,1
109,,1
110,7691174.0,1
111,149741.0,1
112,4776239.0,1
113,3901112.0,1
114,,1
115,,1
116,1485317.0,1
117,18042640.0,1
118,415308.0,1
119,38400610.0,1
120,,1
121,,1
122,,1
123,9170821.0,1
124,16972715.0,1
125,,1
126,29486179.0,1
127,1269537.0,1
128,6586983.0,1
129,25503951.0,1
130,3485901.0,1
