,value,count
0,3.7,2
1,2.6,3
2,,1
3,12.6,1
4,8.1,1
5,2.7,3
6,11.3,1
7,10.4,2
8,4.0,1
9,7.2,4
10,3.9,1
11,13.9,1
12,7.7,2
13,,1
14,6.8,1
15,,1
16,8.3,5
17,6.4,1
18,6.5,1
19,14.4,2
20,5.5,1
21,10.3,2
22,13.2,1
23,8.0,2
24,6.7,1
25,7.6,2
26,11.0,3
27,3.2,1
28,9.5,3
29,,1
30,3.4,1
31,6.1,2
32,12.0,1
33,13.4,1
34,9.7,2
35,,1
36,13.1,1
37,10.5,1
38,3.6,1
39,0.6,1
40,,1
41,6.2,1
42,40.9,1
43,,1
44,11.8,2
45,11.2,1
46,12.9,2
47,5.1,1
48,4.7,3
49,8.9,1
50,5.2,2
51,4.3,1
52,15.7,1
53,12.2,2
54,18.1,1
55,,1
56,6.0,1
57,16.1,1
58,,1
59,20.2,1
60,8.6,1
61,,1
62,9.2,1
63,5.8,1
64,2.8,1
65,5.3,4
66,18.0,1
67,16.2,1
68,3.0,1
69,9.8,3
70,9.3,3
71,,1
72,6.9,2
73,2.9,1
74,2.5,1
75,,1
76,7.3,1
77,21.6,1
78,5.4,1
79,7.9,1
80,14.0,1
81,23.5,1
82,21.2,1
83,4.8,1
84,25.9,1
85,12.4,1
86,2.1,1
87,,1
88,2.3,1
89,,1
90,,1
91,17.7,1
92,18.8,1
