,value,count
0,2.2,4
1,1.9,4
2,,1
3,4.7,2
4,3.3,3
5,1.0,3
6,5.6,2
7,4.6,2
8,1.5,2
9,2.3,3
10,1.7,3
11,8.4,1
12,1.8,2
13,,1
14,4.2,3
15,,1
16,3.4,3
17,2.8,3
18,2.9,3
19,6.5,1
20,3.1,1
21,5.4,4
22,6.9,3
23,3.0,1
24,4.8,2
25,5.1,1
26,1.1,2
27,3.8,3
28,,1
29,2.1,3
30,4.5,2
31,5.2,2
32,6.8,1
33,,1
34,3.9,2
35,0.7,2
36,,1
37,2.5,1
38,17.0,1
39,,1
40,5.5,2
41,3.5,5
42,11.1,1
43,1.2,2
44,2.4,4
45,3.6,1
46,5.0,2
47,5.3,2
48,,1
49,,1
50,6.2,1
51,,1
52,0.9,1
53,7.9,1
54,6.1,2
55,,1
56,7.7,3
57,1.4,1
58,1.3,1
59,,1
60,7.2,1
61,6.4,1
62,2.6,2
63,9.8,1
64,13.4,1
65,11.8,1
66,5.7,1
67,0.8,1
68,,1
69,3.7,2
70,,1
71,,1
72,4.9,1
