,value,count
0,5.3,2
1,3.3,1
2,,1
3,21.7,1
4,13.5,3
5,4.9,1
6,17.0,1
7,16.6,1
8,6.6,1
9,9.9,1
10,6.0,2
11,19.6,1
12,13.6,1
13,,1
14,9.6,1
15,,1
16,10.3,2
17,10.6,2
18,24.5,1
19,8.4,2
20,15.3,1
21,20.2,2
22,13.4,1
23,8.6,2
24,13.3,2
25,17.7,1
26,15.4,2
27,,1
28,11.1,2
29,4.7,1
30,14.2,2
31,20.1,1
32,15.2,1
33,,1
34,23.3,1
35,14.0,1
36,12.8,1
37,20.0,1
38,5.9,1
39,0.5,1
40,,1
41,65.0,1
42,4.4,1
43,,1
44,19.1,1
45,18.7,1
46,14.7,1
47,4.0,1
48,7.5,1
49,7.3,1
50,14.3,1
51,8.3,1
52,6.7,1
53,25.7,2
54,17.5,1
55,30.9,1
56,18.1,1
57,,1
58,3.8,1
59,29.0,1
60,,1
61,36.1,1
62,11.8,2
63,,1
64,9.0,1
65,4.1,2
66,8.7,1
67,22.1,1
68,31.1,2
69,25.4,1
70,5.1,1
71,18.6,1
72,12.5,1
73,,1
74,7.8,2
75,10.1,1
76,11.0,1
77,15.8,1
78,14.6,1
79,4.8,1
80,3.9,1
81,16.5,1
82,11.6,1
83,,1
84,5.7,1
85,12.6,1
86,38.2,1
87,14.8,1
88,18.5,1
89,12.2,1
90,12.7,1
91,16.7,1
92,22.7,1
93,37.9,1
94,29.7,1
95,7.9,1
96,20.9,1
97,6.3,2
98,41.3,1
99,16.9,1
100,3.5,1
101,,1
102,7.4,1
103,13.9,1
104,13.1,1
105,3.6,1
106,9.4,1
107,,1
108,,1
109,19.4,1
110,32.7,1
111,10.4,1
